total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,hours_to_next_failure_event
987,17.49,123.38,2,28800.0,0.5706,1.0,0.5706,1.0,2.0,2.0,0.0,0.0,630.55,8.96,2,3,18,2,9,2,0,0,10,0,198.82
1050,49.3,131.25,0,28800.0,0.9903,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,9.37,2,3,4,3,9,2,0,1,10,0,188.92
1039,20.64,129.88,3,28800.0,0.6227,1.0,0.6227,1.0,3.0,3.0,0.0,0.0,630.55,9.5,2,3,7,3,9,2,0,0,10,0,185.8
1035,22.81,129.38,3,28800.0,0.559,1.0,0.7453,1.0,4.0,3.0,0.0,0.0,630.55,9.87,2,3,16,3,9,2,0,0,10,0,176.8
1050,33.2,131.25,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,10.13,2,3,22,3,9,2,0,1,10,0,170.62
904,48.3,113.0,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,10.59,2,3,9,4,9,2,0,0,10,0,159.64
920,36.96,115.0,4,28800.0,0.9028,1.0,0.9028,1.0,4.0,4.0,0.0,0.0,630.55,11.08,2,3,21,4,9,2,0,0,10,0,147.94
921,45.99,115.12,7,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,771.79,0.05,2,4,5,5,9,2,1,1,10,0,140.0
1021,15.8,156.78,2,25715.625,0.4223,0.8929374999999999,0.5187,1.0,2.0,2.0,0.0,0.0,771.79,0.3,2,4,11,5,9,2,1,0,10,0,134.07
1050,46.97,143.0,3,26433.0,0.9178,0.9178,1.0,1.0,3.0,3.0,0.0,0.0,771.79,0.54,2,4,16,5,9,2,1,0,10,0,128.15
942,30.79,127.96,2,26502.0,0.8429,0.9202,0.916,1.0,4.0,4.0,0.0,0.0,771.79,1.05,1,4,5,6,9,3,1,1,10,0,115.99
1046,21.27,130.75,5,28800.0,0.7518,1.0,0.7518,1.0,5.0,5.0,0.0,0.0,771.79,1.11,1,4,6,6,9,3,1,0,10,0,114.55
1046,29.93,130.75,2,28800.0,0.9276,1.0,0.9276,1.0,2.0,2.0,0.0,0.0,771.79,1.67,1,4,19,6,9,3,1,0,10,0,101.25
962,42.14,120.25,4,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,771.79,2.01,1,4,4,0,10,3,0,1,10,0,92.9
1050,26.59,131.25,2,28800.0,0.4056,1.0,0.8112,1.0,4.0,2.0,0.0,0.0,771.79,2.1,1,4,6,0,10,3,0,0,10,0,90.84
1050,46.32,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,771.79,2.44,1,4,14,0,10,3,0,0,10,0,82.69
845,34.17,105.62,3,28800.0,0.9002,1.0,0.9002,1.0,5.0,5.0,0.0,0.0,771.79,2.97,1,4,3,1,10,3,0,1,10,0,69.94
788,35.54,98.5,5,28800.0,0.7688,1.0,0.7688,1.0,5.0,5.0,0.0,0.0,771.79,3.34,1,4,11,1,10,3,0,0,10,0,61.19
865,25.6,108.12,3,28800.0,0.6469,1.0,0.6469,1.0,3.0,3.0,0.0,0.0,771.79,3.51,1,4,16,1,10,3,0,0,10,0,56.89
878,38.0,109.75,5,28800.0,0.8612,1.0,0.8612,1.0,4.0,4.0,0.0,0.0,771.79,3.92,0,4,1,2,10,3,0,1,10,0,47.25
1050,46.29,131.25,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,771.79,4.18,0,4,8,2,10,3,0,0,10,0,40.92
1050,14.03,131.25,2,28800.0,0.4178,1.0,0.4178,1.0,2.0,2.0,0.0,0.0,771.79,4.52,0,4,16,2,10,3,0,0,10,0,32.74
840,41.63,105.0,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,771.79,4.78,0,4,22,2,10,3,0,1,10,0,26.59
1000,31.21,125.0,2,28800.0,0.8382,1.0,0.8382,1.0,2.0,2.0,0.0,0.0,771.79,5.23,0,4,9,3,10,3,0,0,10,0,15.62
869,11.28,108.62,2,28800.0,0.2147,1.0,0.322,1.0,3.0,2.0,0.0,0.0,771.79,5.68,0,4,20,3,10,3,0,0,10,0,4.94
918,17.3,114.75,5,28800.0,0.4644,1.0,0.4644,1.0,6.0,6.0,0.0,0.0,797.79,6.07,1,4,5,4,10,3,0,1,10,0,484.09
940,40.68,131.5,4,25734.0,0.7148,0.8935,1.0,1.0,5.0,4.0,0.0,0.0,797.79,6.21,1,4,8,4,10,3,0,0,10,0,480.74
917,26.33,123.67,2,26693.0,0.7316,0.9268,0.7894,1.0,2.0,2.0,0.0,0.0,797.79,6.51,1,4,16,4,10,3,0,0,10,0,473.69
1025,40.05,147.35,6,25715.625,0.8695,0.8929374999999999,1.0,1.0,2.0,2.0,0.0,0.0,797.79,7.01,1,4,4,5,10,3,1,1,10,0,461.59
916,40.02,132.25,4,25715.625,0.6926,0.8929374999999999,1.0,1.0,5.0,4.0,0.0,0.0,1005.04,0.14,1,5,12,5,10,3,1,0,10,0,453.69
985,27.63,132.25,4,26813.0,0.8499,0.931,0.9129,1.0,4.0,4.0,0.0,0.0,1005.04,0.38,1,5,17,5,10,3,1,0,10,0,447.92
986,27.41,134.91,2,26311.0,0.821,0.9136,0.8986,1.0,2.0,2.0,0.0,0.0,1005.04,0.63,1,5,23,5,10,3,1,1,10,0,442.11
1045,44.23,130.62,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,1.19,1,4,12,6,10,3,1,0,10,0,428.71
1050,49.06,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1005.04,1.34,1,4,16,6,10,3,1,0,10,0,424.89
1025,19.39,128.12,8,28800.0,0.6865,1.0,0.6865,1.0,2.0,2.0,0.0,0.0,1005.04,1.71,1,4,1,0,11,3,0,1,10,0,416.07
1050,38.08,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1005.04,2.21,1,4,13,0,11,3,0,0,10,0,404.19
1050,51.27,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1005.04,2.24,1,4,14,0,11,3,0,0,10,0,403.41
1050,40.18,131.25,2,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,2.75,1,4,2,1,11,3,0,1,10,0,391.12
889,22.54,111.12,3,28800.0,0.5606,1.0,0.5606,1.0,3.0,3.0,0.0,0.0,1005.04,3.18,1,4,12,1,11,3,0,0,10,0,380.77
1050,22.53,131.25,2,28800.0,0.7667,1.0,0.7667,1.0,2.0,2.0,0.0,0.0,1005.04,3.43,1,4,18,1,11,3,0,0,10,0,374.76
989,32.9,123.62,5,28800.0,0.8372,1.0,0.8372,1.0,5.0,5.0,0.0,0.0,1005.04,3.86,1,4,5,2,11,3,0,1,10,0,364.41
934,27.59,116.75,6,28800.0,0.8623,1.0,0.8623,1.0,6.0,6.0,0.0,0.0,1005.04,4.0,1,4,8,2,11,3,0,0,10,0,361.06
1050,27.62,131.25,3,28800.0,0.8017,1.0,0.8017,1.0,3.0,3.0,0.0,0.0,1005.04,4.39,1,4,17,2,11,3,0,0,10,0,351.84
1050,28.29,131.25,5,28800.0,0.9053,1.0,0.9053,1.0,1.0,1.0,0.0,0.0,1005.04,4.66,1,4,0,3,11,3,0,1,10,0,345.22
951,12.41,118.88,2,28800.0,0.384,1.0,0.384,1.0,2.0,2.0,0.0,0.0,1005.04,5.19,1,4,13,3,11,3,0,0,10,0,332.67
1050,8.96,131.25,2,28800.0,0.303,1.0,0.303,1.0,2.0,2.0,0.0,0.0,1005.04,5.41,1,4,18,3,11,3,0,0,10,0,327.19
1050,14.02,131.25,1,28800.0,0.4346,1.0,0.4346,1.0,1.0,1.0,0.0,0.0,1005.04,5.6,1,4,22,3,11,3,0,1,10,0,322.79
989,29.6,123.62,2,28800.0,0.8623,1.0,0.8623,1.0,2.0,2.0,0.0,0.0,1005.04,6.21,0,4,13,4,11,3,0,0,10,0,307.99
1050,30.53,131.25,5,28800.0,0.8856,1.0,0.8856,1.0,5.0,5.0,0.0,0.0,1005.04,6.55,0,4,21,4,11,3,0,0,10,0,300.02
1050,16.94,131.25,5,28800.0,0.5086,1.0,0.6103,1.0,3.0,3.0,0.0,0.0,1005.04,6.86,0,4,5,5,11,3,1,1,10,0,292.57
981,37.85,122.62,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1005.04,7.19,0,4,13,5,11,3,1,0,10,0,284.66
1050,24.58,131.25,3,28800.0,0.6865,1.0,0.6865,1.0,4.0,4.0,0.0,0.0,1005.04,7.7,0,4,1,6,11,3,1,1,10,0,272.31
1037,45.95,139.15,5,26828.0,0.9315,0.9315,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,8.18,0,4,12,6,11,3,1,0,10,0,260.84
1050,34.82,136.64,3,27664.0,0.9606,0.9606,1.0,1.0,3.0,3.0,0.0,0.0,1005.04,8.29,0,4,15,6,11,3,1,0,10,0,258.17
1050,28.87,139.62,4,27073.0,0.94,0.94,1.0,1.0,7.0,7.0,0.0,0.0,1025.68,0.11,0,5,3,0,12,3,0,1,10,0,245.96
938,25.45,127.28,2,26531.0,0.6722,0.9212,0.7297,1.0,2.0,2.0,0.0,0.0,1025.68,0.48,0,5,12,0,12,3,0,0,10,0,237.07
1050,19.4,142.62,4,26504.0,0.5371,0.9203,0.5836,1.0,4.0,4.0,0.0,0.0,1025.68,0.76,0,5,19,0,12,3,0,0,10,0,230.39
803,34.32,105.41,7,27425.0,0.7774,0.9523,0.8163,1.0,3.0,3.0,0.0,0.0,1037.39,1.15,1,5,4,1,12,3,0,1,10,0,221.02
1050,32.1,141.56,2,26702.0,0.9239,0.9272,0.9964,1.0,2.0,2.0,0.0,0.0,1037.39,1.35,1,5,9,1,12,3,0,0,10,0,216.17
924,20.59,124.56,3,26706.0,0.6134,0.9273,0.6615,1.0,3.0,3.0,0.0,0.0,1073.65,0.19,1,6,16,1,12,3,0,0,10,0,209.04
888,26.83,119.31,3,26793.0,0.7122,0.9303,0.7656,1.0,4.0,4.0,0.0,0.0,1073.65,0.62,1,6,2,2,12,3,0,1,10,0,198.84
755,21.45,94.38,6,28800.0,0.5025,1.0,0.5025,1.0,6.0,6.0,0.0,0.0,1073.65,1.05,1,6,13,2,12,3,0,0,10,0,188.51
902,31.24,112.75,3,28800.0,0.9665,1.0,0.9665,1.0,3.0,3.0,0.0,0.0,1073.65,1.25,1,6,17,2,12,3,0,0,10,0,183.71
923,31.58,115.38,4,28800.0,0.9156,1.0,0.9156,1.0,4.0,4.0,0.0,0.0,1073.65,1.47,1,5,23,2,12,3,0,1,10,0,178.31
916,10.2,122.18,4,26989.0,0.2821,0.9371,0.301,1.0,4.0,4.0,0.0,0.0,1249.54,1.79,2,4,6,3,12,3,0,0,10,0,170.71
1050,32.4,135.57,5,27882.0,0.8779,0.9681,0.9068,1.0,5.0,5.0,0.0,0.0,1249.54,2.22,2,4,17,3,12,3,0,0,10,0,160.37
1050,29.02,139.15,6,27164.0,0.9297,0.9432,0.9857,1.0,6.0,5.0,0.0,0.0,1249.54,2.74,2,4,5,4,12,3,0,1,10,0,147.92
943,52.57,117.88,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,2.84,2,4,8,4,12,3,0,0,10,0,145.34
900,43.72,112.5,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,3.09,2,4,14,4,12,3,0,0,10,0,139.54
1050,9.66,131.25,5,28800.0,0.2783,1.0,0.334,1.0,6.0,5.0,0.0,0.0,1249.54,3.48,2,4,23,4,12,3,0,1,10,0,130.12
1007,38.45,125.88,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,4.04,2,4,13,5,12,3,1,0,10,0,116.67
1050,19.2,131.25,6,28800.0,0.5276,1.0,0.5276,1.0,6.0,6.0,0.0,0.0,1249.54,4.36,2,4,20,5,12,3,1,0,10,0,108.94
1050,48.79,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1249.54,4.42,2,4,22,5,12,3,1,1,10,0,107.57
1037,12.67,129.62,6,28800.0,0.4256,1.0,0.4256,1.0,6.0,6.0,0.0,0.0,1249.54,4.97,2,4,11,6,12,3,1,0,10,0,94.34
974,31.16,121.75,4,28800.0,0.695,1.0,0.8688,1.0,5.0,4.0,0.0,0.0,1249.54,5.34,2,4,20,6,12,3,1,0,10,0,85.47
959,43.94,119.88,6,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1249.54,5.69,2,4,4,0,13,3,0,1,10,0,77.07
984,14.3,123.0,2,28800.0,0.3977,1.0,0.3977,1.0,2.0,2.0,0.0,0.0,1249.54,6.01,2,4,12,0,13,3,0,0,10,0,69.32
1029,23.18,128.62,2,28800.0,0.766,1.0,0.766,1.0,2.0,2.0,0.0,0.0,1249.54,6.21,2,4,17,0,13,3,0,0,10,0,64.57
913,13.57,114.12,3,28800.0,0.3636,1.0,0.3636,1.0,8.0,8.0,0.0,0.0,1249.54,6.69,1,4,4,1,13,3,0,1,10,0,53.11
1013,35.83,126.62,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1249.54,6.95,1,4,10,1,13,3,0,0,10,0,46.71
921,41.83,115.12,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1249.54,7.2,1,4,16,1,13,3,0,0,10,0,40.89
985,32.4,123.12,8,28800.0,0.8803,1.0,0.8803,1.0,3.0,3.0,0.0,0.0,1249.54,7.55,1,4,1,2,13,3,0,1,10,0,32.51
1050,36.34,131.25,4,28800.0,0.8,1.0,1.0,1.0,5.0,4.0,0.0,0.0,1249.54,7.98,1,4,11,2,13,3,0,0,10,0,22.11
1050,47.26,131.25,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,8.22,1,4,17,2,13,3,0,0,10,0,16.36
922,13.89,115.25,3,28800.0,0.4168,1.0,0.4168,1.0,3.0,2.0,0.0,0.0,1249.54,8.73,0,4,5,3,13,3,0,1,10,0,4.04
960,17.92,148.56,5,25715.625,0.568,0.8929374999999999,0.7032,1.0,5.0,5.0,0.0,0.0,1249.54,9.04,1,4,13,3,13,3,0,0,10,0,14.81
902,28.81,126.79,3,25715.625,0.6868,0.8929374999999999,0.7724,1.0,3.0,3.0,0.0,0.0,1264.06,9.38,1,4,21,3,13,3,0,0,10,0,6.69
1050,17.21,166.56,2,25715.625,0.3347,0.8929374999999999,0.6371,1.0,5.0,4.0,0.0,0.0,1264.06,9.54,1,4,1,4,13,3,0,1,10,0,2.78
1003,37.21,136.18,4,26515.0,0.7366,0.9207,1.0,1.0,5.0,4.0,0.0,0.0,1304.93,9.94,2,4,10,4,13,3,0,0,10,0,58.62
919,35.07,134.6,3,25715.625,0.8535,0.8929374999999999,1.0,1.0,3.0,3.0,0.0,0.0,1304.93,10.24,2,4,17,4,13,3,0,0,10,0,51.45
1050,21.23,146.09,4,25875.0,0.6002,0.8984,0.8351,1.0,5.0,5.0,0.0,0.0,1304.93,10.52,2,4,0,5,13,3,1,1,10,0,44.79
