total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hours_to_next_failure_event,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,failure_binary,risk_level_encoded
1029,9.63,136.5,2,27139.0,0.2068,0.9423,0.3291,1.0,4.0,3.0,0.0,0.0,157.15,0.82,1,1,11.9,4,5,6,2,1,1,10,0,1,3
1050,43.62,154.39,6,25715.625,0.8501,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,157.15,1.16,1,1,3.75,12,5,6,2,1,0,10,0,1,3
1050,32.44,152.14,6,25715.625,0.8627,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,225.82,1.45,2,1,68.24,19,5,6,2,1,0,10,0,0,0
992,22.76,141.56,3,25715.625,0.5229,0.8929374999999999,0.7959,1.0,6.0,6.0,0.0,0.0,225.82,1.84,2,1,58.85,5,6,6,2,1,1,10,0,0,0
1050,25.93,131.25,4,28800.0,0.9439,1.0,0.9439,1.0,4.0,4.0,0.0,0.0,225.82,2.06,2,1,53.7,10,6,6,2,1,0,10,0,0,0
986,12.57,123.25,3,28800.0,0.321,1.0,0.428,1.0,4.0,3.0,0.0,0.0,225.82,2.46,2,1,44.19,19,6,6,2,1,0,10,0,0,0
899,33.56,112.38,6,28800.0,0.9589,1.0,0.9589,1.0,6.0,6.0,0.0,0.0,225.82,2.59,2,1,40.85,23,6,6,2,1,1,10,0,0,0
986,15.57,123.25,2,28800.0,0.4129,1.0,0.4129,1.0,2.0,2.0,0.0,0.0,225.82,2.88,2,1,33.99,6,0,7,2,0,0,10,0,0,0
960,10.28,120.0,4,28800.0,0.334,1.0,0.334,1.0,4.0,4.0,0.0,0.0,225.82,3.35,2,1,22.67,17,0,7,2,0,0,10,0,1,1
1050,26.47,131.25,4,28800.0,0.7857,1.0,0.7857,1.0,4.0,4.0,0.0,0.0,225.82,3.65,2,1,15.5,0,1,7,2,0,1,10,0,1,1
1050,11.33,135.64,4,27867.0,0.3258,0.9676,0.4209,1.0,5.0,4.0,0.0,0.0,225.82,3.92,2,1,9.0,7,1,7,2,0,0,10,0,1,1
1050,18.95,136.99,3,27593.0,0.6012,0.9581,0.6275,1.0,3.0,3.0,0.0,0.0,371.7,4.44,3,1,268.56,19,1,7,2,0,0,10,0,0,0
1050,20.9,136.45,4,27703.0,0.572,0.9619,0.5947,1.0,4.0,4.0,0.0,0.0,371.7,4.77,3,1,260.63,3,2,7,2,0,1,10,0,0,0
1047,33.3,130.88,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,5.1,3,1,252.66,11,2,7,2,0,0,10,0,0,0
1050,40.63,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,5.51,2,1,242.86,21,2,7,2,0,0,10,0,0,0
1050,25.56,131.25,4,28800.0,0.7386,1.0,0.7386,1.0,3.0,3.0,0.0,0.0,371.7,5.69,2,1,238.58,1,3,7,2,0,1,10,0,0,0
1007,23.52,125.88,5,28800.0,0.6601,1.0,0.6601,1.0,5.0,5.0,0.0,0.0,371.7,6.09,2,1,229.03,11,3,7,2,0,0,10,0,0,0
1050,31.95,131.25,5,28800.0,0.8714,1.0,0.8714,1.0,5.0,5.0,0.0,0.0,371.7,6.28,2,1,224.53,15,3,7,2,0,0,10,0,0,0
1050,43.48,131.25,3,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,6.66,2,1,215.26,0,4,7,2,0,1,10,0,0,0
998,15.67,124.75,6,28800.0,0.4065,1.0,0.4065,1.0,6.0,6.0,0.0,0.0,371.7,6.91,2,1,209.4,6,4,7,2,0,0,10,0,0,0
947,47.97,118.38,3,28800.0,0.75,1.0,1.0,1.0,4.0,3.0,0.0,0.0,371.7,7.27,2,1,200.66,15,4,7,2,0,0,10,0,0,0
1050,36.75,131.25,5,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,7.86,2,1,186.5,5,5,7,2,1,1,10,0,0,0
945,38.4,118.12,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,371.7,7.89,2,1,185.9,6,5,7,2,1,0,10,0,0,0
1050,14.1,131.25,5,28800.0,0.4094,1.0,0.4094,1.0,5.0,5.0,0.0,0.0,371.7,8.36,1,1,174.48,17,5,7,2,1,0,10,0,0,0
1050,13.85,131.25,4,28800.0,0.4287,1.0,0.4287,1.0,5.0,5.0,0.0,0.0,371.7,8.73,1,1,165.51,2,6,7,2,1,1,10,0,0,0
934,16.88,116.75,5,28800.0,0.3546,1.0,0.4255,1.0,6.0,5.0,0.0,0.0,371.7,9.2,1,1,154.38,13,6,7,2,1,0,10,0,0,0
944,40.78,118.0,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,371.7,9.41,1,1,149.31,18,6,7,2,1,0,10,0,0,0
1050,14.33,131.25,5,28800.0,0.4794,1.0,0.4794,1.0,3.0,3.0,0.0,0.0,371.7,9.68,1,1,142.93,1,0,8,2,0,1,10,0,0,0
1018,12.5,132.18,5,27725.0,0.3332,0.9627,0.4153,1.0,6.0,5.0,0.0,0.0,371.7,10.11,1,1,132.43,11,0,8,2,0,0,10,0,0,0
873,44.05,113.16,3,27772.0,0.9643,0.9643,1.0,1.0,3.0,3.0,0.0,0.0,371.7,10.38,1,1,126.08,17,0,8,2,0,0,10,0,0,0
1033,11.45,133.91,3,27770.0,0.3554,0.9642,0.3686,1.0,3.0,3.0,0.0,0.0,378.72,0.13,1,2,121.55,22,0,8,2,0,1,10,0,0,0
1050,33.57,131.25,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,490.83,0.75,1,3,106.81,13,1,8,2,0,0,10,0,0,0
1000,32.51,125.0,4,28800.0,0.8517,1.0,0.8517,1.0,4.0,4.0,0.0,0.0,490.83,0.94,0,3,102.1,17,1,8,2,0,0,10,0,0,0
956,17.29,119.5,2,28800.0,0.5404,1.0,0.5404,1.0,7.0,7.0,0.0,0.0,490.83,1.25,0,3,94.73,1,2,8,2,0,1,10,0,0,0
997,30.6,124.62,3,28800.0,0.8024,1.0,0.8024,1.0,3.0,3.0,0.0,0.0,490.83,1.61,0,3,86.15,9,2,8,2,0,0,10,0,0,0
1050,50.28,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,490.83,1.93,0,3,78.36,17,2,8,2,0,0,10,0,0,0
939,43.55,117.38,7,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,490.83,2.31,0,3,69.23,2,3,8,2,0,1,10,0,0,0
1001,40.43,125.12,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,490.83,2.72,0,3,59.46,12,3,8,2,0,0,10,0,0,0
923,15.3,115.38,3,28800.0,0.3862,1.0,0.3862,1.0,3.0,3.0,0.0,0.0,490.83,3.01,0,3,52.48,19,3,8,2,0,0,10,0,0,0
1050,20.55,131.25,4,28800.0,0.6132,1.0,0.6132,1.0,2.0,1.0,0.0,0.0,490.83,3.29,0,3,45.86,2,4,8,2,0,1,10,0,0,0
936,22.46,117.0,2,28800.0,0.5558,1.0,0.5558,1.0,2.0,2.0,0.0,0.0,490.83,3.65,0,3,37.13,10,4,8,2,0,0,10,0,0,0
1050,33.63,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,490.83,3.85,0,3,32.41,15,4,8,2,0,0,10,0,0,0
994,39.38,124.25,1,28800.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,0.0,490.83,4.16,0,3,24.88,23,4,8,2,0,1,10,0,0,0
949,18.5,118.62,4,28800.0,0.3908,1.0,0.5862,1.0,6.0,4.0,0.0,0.0,490.83,4.5,0,3,16.71,7,5,8,2,1,0,10,0,1,1
1045,17.88,130.62,5,28800.0,0.586,1.0,0.586,1.0,5.0,5.0,0.0,0.0,490.83,5.09,0,3,2.68,21,5,8,2,1,0,10,0,1,1
1050,13.38,131.25,7,28800.0,0.3959,1.0,0.4524,1.0,4.0,3.0,0.0,0.0,552.25,5.28,1,3,63.57,2,6,8,2,1,1,10,0,0,0
1007,32.6,129.3,3,28037.0,0.9301,0.9735,0.9554,1.0,3.0,3.0,0.0,0.0,552.25,5.62,1,3,55.34,10,6,8,2,1,0,10,0,0,0
1050,45.32,140.03,2,26994.0,0.9373,0.9373,1.0,1.0,2.0,2.0,0.0,0.0,552.25,6.06,1,3,44.77,20,6,8,2,1,0,10,0,0,0
1050,13.22,139.93,3,27014.0,0.312,0.938,0.4435,1.0,4.0,3.0,0.0,0.0,552.25,6.15,1,3,42.64,22,6,8,2,1,1,10,0,0,0
1050,37.85,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,552.25,6.48,1,3,34.65,6,0,9,2,0,0,10,0,0,0
1020,35.84,127.5,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,552.25,6.92,1,3,24.12,17,0,9,2,0,0,10,0,0,0
971,12.38,121.38,3,28800.0,0.2911,1.0,0.3881,1.0,4.0,3.0,0.0,0.0,552.25,7.16,1,3,18.42,23,0,9,2,0,1,10,0,1,3
1006,23.0,155.74,3,25715.625,0.7359,0.8929374999999999,0.9115,1.0,3.0,3.0,0.0,0.0,552.25,7.64,1,3,6.79,10,1,9,2,0,0,10,0,1,3
881,20.08,145.38,2,25715.625,0.5265,0.8929374999999999,0.695,1.0,2.0,2.0,0.0,0.0,630.55,8.08,2,3,219.92,21,1,9,2,0,0,10,0,0,0
1050,29.14,144.16,3,26221.0,0.9105,0.9105,1.0,1.0,0.0,0.0,0.0,0.0,630.55,8.3,2,3,214.52,2,2,9,2,0,1,10,0,0,0
1050,33.42,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,630.55,8.74,2,3,204.07,13,2,9,2,0,0,10,0,0,0
987,17.49,123.38,2,28800.0,0.5706,1.0,0.5706,1.0,2.0,2.0,0.0,0.0,630.55,8.96,2,3,198.82,18,2,9,2,0,0,10,0,0,0
1050,49.3,131.25,0,28800.0,0.9903,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,9.37,2,3,188.92,4,3,9,2,0,1,10,0,0,0
1039,20.64,129.88,3,28800.0,0.6227,1.0,0.6227,1.0,3.0,3.0,0.0,0.0,630.55,9.5,2,3,185.8,7,3,9,2,0,0,10,0,0,0
1035,22.81,129.38,3,28800.0,0.559,1.0,0.7453,1.0,4.0,3.0,0.0,0.0,630.55,9.87,2,3,176.8,16,3,9,2,0,0,10,0,0,0
1050,33.2,131.25,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,10.13,2,3,170.62,22,3,9,2,0,1,10,0,0,0
904,48.3,113.0,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,630.55,10.59,2,3,159.64,9,4,9,2,0,0,10,0,0,0
920,36.96,115.0,4,28800.0,0.9028,1.0,0.9028,1.0,4.0,4.0,0.0,0.0,630.55,11.08,2,3,147.94,21,4,9,2,0,0,10,0,0,0
921,45.99,115.12,7,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,771.79,0.05,2,4,140.0,5,5,9,2,1,1,10,0,0,0
1021,15.8,156.78,2,25715.625,0.4223,0.8929374999999999,0.5187,1.0,2.0,2.0,0.0,0.0,771.79,0.3,2,4,134.07,11,5,9,2,1,0,10,0,0,0
1050,46.97,143.0,3,26433.0,0.9178,0.9178,1.0,1.0,3.0,3.0,0.0,0.0,771.79,0.54,2,4,128.15,16,5,9,2,1,0,10,0,0,0
942,30.79,127.96,2,26502.0,0.8429,0.9202,0.916,1.0,4.0,4.0,0.0,0.0,771.79,1.05,1,4,115.99,5,6,9,3,1,1,10,0,0,0
1046,21.27,130.75,5,28800.0,0.7518,1.0,0.7518,1.0,5.0,5.0,0.0,0.0,771.79,1.11,1,4,114.55,6,6,9,3,1,0,10,0,0,0
1046,29.93,130.75,2,28800.0,0.9276,1.0,0.9276,1.0,2.0,2.0,0.0,0.0,771.79,1.67,1,4,101.25,19,6,9,3,1,0,10,0,0,0
962,42.14,120.25,4,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,771.79,2.01,1,4,92.9,4,0,10,3,0,1,10,0,0,0
1050,26.59,131.25,2,28800.0,0.4056,1.0,0.8112,1.0,4.0,2.0,0.0,0.0,771.79,2.1,1,4,90.84,6,0,10,3,0,0,10,0,0,0
1050,46.32,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,771.79,2.44,1,4,82.69,14,0,10,3,0,0,10,0,0,0
845,34.17,105.62,3,28800.0,0.9002,1.0,0.9002,1.0,5.0,5.0,0.0,0.0,771.79,2.97,1,4,69.94,3,1,10,3,0,1,10,0,0,0
788,35.54,98.5,5,28800.0,0.7688,1.0,0.7688,1.0,5.0,5.0,0.0,0.0,771.79,3.34,1,4,61.19,11,1,10,3,0,0,10,0,0,0
865,25.6,108.12,3,28800.0,0.6469,1.0,0.6469,1.0,3.0,3.0,0.0,0.0,771.79,3.51,1,4,56.89,16,1,10,3,0,0,10,0,0,0
878,38.0,109.75,5,28800.0,0.8612,1.0,0.8612,1.0,4.0,4.0,0.0,0.0,771.79,3.92,0,4,47.25,1,2,10,3,0,1,10,0,0,0
1050,46.29,131.25,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,771.79,4.18,0,4,40.92,8,2,10,3,0,0,10,0,0,0
1050,14.03,131.25,2,28800.0,0.4178,1.0,0.4178,1.0,2.0,2.0,0.0,0.0,771.79,4.52,0,4,32.74,16,2,10,3,0,0,10,0,0,0
840,41.63,105.0,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,771.79,4.78,0,4,26.59,22,2,10,3,0,1,10,0,0,0
1000,31.21,125.0,2,28800.0,0.8382,1.0,0.8382,1.0,2.0,2.0,0.0,0.0,771.79,5.23,0,4,15.62,9,3,10,3,0,0,10,0,1,2
869,11.28,108.62,2,28800.0,0.2147,1.0,0.322,1.0,3.0,2.0,0.0,0.0,771.79,5.68,0,4,4.94,20,3,10,3,0,0,10,0,1,2
918,17.3,114.75,5,28800.0,0.4644,1.0,0.4644,1.0,6.0,6.0,0.0,0.0,797.79,6.07,1,4,484.09,5,4,10,3,0,1,10,0,0,0
940,40.68,131.5,4,25734.0,0.7148,0.8935,1.0,1.0,5.0,4.0,0.0,0.0,797.79,6.21,1,4,480.74,8,4,10,3,0,0,10,0,0,0
917,26.33,123.67,2,26693.0,0.7316,0.9268,0.7894,1.0,2.0,2.0,0.0,0.0,797.79,6.51,1,4,473.69,16,4,10,3,0,0,10,0,0,0
1025,40.05,147.35,6,25715.625,0.8695,0.8929374999999999,1.0,1.0,2.0,2.0,0.0,0.0,797.79,7.01,1,4,461.59,4,5,10,3,1,1,10,0,0,0
916,40.02,132.25,4,25715.625,0.6926,0.8929374999999999,1.0,1.0,5.0,4.0,0.0,0.0,1005.04,0.14,1,5,453.69,12,5,10,3,1,0,10,0,0,0
985,27.63,132.25,4,26813.0,0.8499,0.931,0.9129,1.0,4.0,4.0,0.0,0.0,1005.04,0.38,1,5,447.92,17,5,10,3,1,0,10,0,0,0
986,27.41,134.91,2,26311.0,0.821,0.9136,0.8986,1.0,2.0,2.0,0.0,0.0,1005.04,0.63,1,5,442.11,23,5,10,3,1,1,10,0,0,0
1045,44.23,130.62,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,1.19,1,4,428.71,12,6,10,3,1,0,10,0,0,0
1050,49.06,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1005.04,1.34,1,4,424.89,16,6,10,3,1,0,10,0,0,0
1025,19.39,128.12,8,28800.0,0.6865,1.0,0.6865,1.0,2.0,2.0,0.0,0.0,1005.04,1.71,1,4,416.07,1,0,11,3,0,1,10,0,0,0
1050,38.08,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1005.04,2.21,1,4,404.19,13,0,11,3,0,0,10,0,0,0
1050,51.27,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1005.04,2.24,1,4,403.41,14,0,11,3,0,0,10,0,0,0
1050,40.18,131.25,2,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,2.75,1,4,391.12,2,1,11,3,0,1,10,0,0,0
889,22.54,111.12,3,28800.0,0.5606,1.0,0.5606,1.0,3.0,3.0,0.0,0.0,1005.04,3.18,1,4,380.77,12,1,11,3,0,0,10,0,0,0
1050,22.53,131.25,2,28800.0,0.7667,1.0,0.7667,1.0,2.0,2.0,0.0,0.0,1005.04,3.43,1,4,374.76,18,1,11,3,0,0,10,0,0,0
989,32.9,123.62,5,28800.0,0.8372,1.0,0.8372,1.0,5.0,5.0,0.0,0.0,1005.04,3.86,1,4,364.41,5,2,11,3,0,1,10,0,0,0
934,27.59,116.75,6,28800.0,0.8623,1.0,0.8623,1.0,6.0,6.0,0.0,0.0,1005.04,4.0,1,4,361.06,8,2,11,3,0,0,10,0,0,0
1050,27.62,131.25,3,28800.0,0.8017,1.0,0.8017,1.0,3.0,3.0,0.0,0.0,1005.04,4.39,1,4,351.84,17,2,11,3,0,0,10,0,0,0
1050,28.29,131.25,5,28800.0,0.9053,1.0,0.9053,1.0,1.0,1.0,0.0,0.0,1005.04,4.66,1,4,345.22,0,3,11,3,0,1,10,0,0,0
951,12.41,118.88,2,28800.0,0.384,1.0,0.384,1.0,2.0,2.0,0.0,0.0,1005.04,5.19,1,4,332.67,13,3,11,3,0,0,10,0,0,0
1050,8.96,131.25,2,28800.0,0.303,1.0,0.303,1.0,2.0,2.0,0.0,0.0,1005.04,5.41,1,4,327.19,18,3,11,3,0,0,10,0,0,0
1050,14.02,131.25,1,28800.0,0.4346,1.0,0.4346,1.0,1.0,1.0,0.0,0.0,1005.04,5.6,1,4,322.79,22,3,11,3,0,1,10,0,0,0
989,29.6,123.62,2,28800.0,0.8623,1.0,0.8623,1.0,2.0,2.0,0.0,0.0,1005.04,6.21,0,4,307.99,13,4,11,3,0,0,10,0,0,0
1050,30.53,131.25,5,28800.0,0.8856,1.0,0.8856,1.0,5.0,5.0,0.0,0.0,1005.04,6.55,0,4,300.02,21,4,11,3,0,0,10,0,0,0
1050,16.94,131.25,5,28800.0,0.5086,1.0,0.6103,1.0,3.0,3.0,0.0,0.0,1005.04,6.86,0,4,292.57,5,5,11,3,1,1,10,0,0,0
981,37.85,122.62,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1005.04,7.19,0,4,284.66,13,5,11,3,1,0,10,0,0,0
1050,24.58,131.25,3,28800.0,0.6865,1.0,0.6865,1.0,4.0,4.0,0.0,0.0,1005.04,7.7,0,4,272.31,1,6,11,3,1,1,10,0,0,0
1037,45.95,139.15,5,26828.0,0.9315,0.9315,1.0,1.0,5.0,5.0,0.0,0.0,1005.04,8.18,0,4,260.84,12,6,11,3,1,0,10,0,0,0
1050,34.82,136.64,3,27664.0,0.9606,0.9606,1.0,1.0,3.0,3.0,0.0,0.0,1005.04,8.29,0,4,258.17,15,6,11,3,1,0,10,0,0,0
1050,28.87,139.62,4,27073.0,0.94,0.94,1.0,1.0,7.0,7.0,0.0,0.0,1025.68,0.11,0,5,245.96,3,0,12,3,0,1,10,0,0,0
938,25.45,127.28,2,26531.0,0.6722,0.9212,0.7297,1.0,2.0,2.0,0.0,0.0,1025.68,0.48,0,5,237.07,12,0,12,3,0,0,10,0,0,0
1050,19.4,142.62,4,26504.0,0.5371,0.9203,0.5836,1.0,4.0,4.0,0.0,0.0,1025.68,0.76,0,5,230.39,19,0,12,3,0,0,10,0,0,0
803,34.32,105.41,7,27425.0,0.7774,0.9523,0.8163,1.0,3.0,3.0,0.0,0.0,1037.39,1.15,1,5,221.02,4,1,12,3,0,1,10,0,0,0
1050,32.1,141.56,2,26702.0,0.9239,0.9272,0.9964,1.0,2.0,2.0,0.0,0.0,1037.39,1.35,1,5,216.17,9,1,12,3,0,0,10,0,0,0
924,20.59,124.56,3,26706.0,0.6134,0.9273,0.6615,1.0,3.0,3.0,0.0,0.0,1073.65,0.19,1,6,209.04,16,1,12,3,0,0,10,0,0,0
888,26.83,119.31,3,26793.0,0.7122,0.9303,0.7656,1.0,4.0,4.0,0.0,0.0,1073.65,0.62,1,6,198.84,2,2,12,3,0,1,10,0,0,0
755,21.45,94.38,6,28800.0,0.5025,1.0,0.5025,1.0,6.0,6.0,0.0,0.0,1073.65,1.05,1,6,188.51,13,2,12,3,0,0,10,0,0,0
902,31.24,112.75,3,28800.0,0.9665,1.0,0.9665,1.0,3.0,3.0,0.0,0.0,1073.65,1.25,1,6,183.71,17,2,12,3,0,0,10,0,0,0
923,31.58,115.38,4,28800.0,0.9156,1.0,0.9156,1.0,4.0,4.0,0.0,0.0,1073.65,1.47,1,5,178.31,23,2,12,3,0,1,10,0,0,0
916,10.2,122.18,4,26989.0,0.2821,0.9371,0.301,1.0,4.0,4.0,0.0,0.0,1249.54,1.79,2,4,170.71,6,3,12,3,0,0,10,0,0,0
1050,32.4,135.57,5,27882.0,0.8779,0.9681,0.9068,1.0,5.0,5.0,0.0,0.0,1249.54,2.22,2,4,160.37,17,3,12,3,0,0,10,0,0,0
1050,29.02,139.15,6,27164.0,0.9297,0.9432,0.9857,1.0,6.0,5.0,0.0,0.0,1249.54,2.74,2,4,147.92,5,4,12,3,0,1,10,0,0,0
943,52.57,117.88,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,2.84,2,4,145.34,8,4,12,3,0,0,10,0,0,0
900,43.72,112.5,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,3.09,2,4,139.54,14,4,12,3,0,0,10,0,0,0
1050,9.66,131.25,5,28800.0,0.2783,1.0,0.334,1.0,6.0,5.0,0.0,0.0,1249.54,3.48,2,4,130.12,23,4,12,3,0,1,10,0,0,0
1007,38.45,125.88,6,28800.0,1.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1249.54,4.04,2,4,116.67,13,5,12,3,1,0,10,0,0,0
1050,19.2,131.25,6,28800.0,0.5276,1.0,0.5276,1.0,6.0,6.0,0.0,0.0,1249.54,4.36,2,4,108.94,20,5,12,3,1,0,10,0,0,0
1050,48.79,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1249.54,4.42,2,4,107.57,22,5,12,3,1,1,10,0,0,0
1037,12.67,129.62,6,28800.0,0.4256,1.0,0.4256,1.0,6.0,6.0,0.0,0.0,1249.54,4.97,2,4,94.34,11,6,12,3,1,0,10,0,0,0
974,31.16,121.75,4,28800.0,0.695,1.0,0.8688,1.0,5.0,4.0,0.0,0.0,1249.54,5.34,2,4,85.47,20,6,12,3,1,0,10,0,0,0
959,43.94,119.88,6,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1249.54,5.69,2,4,77.07,4,0,13,3,0,1,10,0,0,0
984,14.3,123.0,2,28800.0,0.3977,1.0,0.3977,1.0,2.0,2.0,0.0,0.0,1249.54,6.01,2,4,69.32,12,0,13,3,0,0,10,0,0,0
1029,23.18,128.62,2,28800.0,0.766,1.0,0.766,1.0,2.0,2.0,0.0,0.0,1249.54,6.21,2,4,64.57,17,0,13,3,0,0,10,0,0,0
913,13.57,114.12,3,28800.0,0.3636,1.0,0.3636,1.0,8.0,8.0,0.0,0.0,1249.54,6.69,1,4,53.11,4,1,13,3,0,1,10,0,0,0
1013,35.83,126.62,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1249.54,6.95,1,4,46.71,10,1,13,3,0,0,10,0,0,0
921,41.83,115.12,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1249.54,7.2,1,4,40.89,16,1,13,3,0,0,10,0,0,0
985,32.4,123.12,8,28800.0,0.8803,1.0,0.8803,1.0,3.0,3.0,0.0,0.0,1249.54,7.55,1,4,32.51,1,2,13,3,0,1,10,0,0,0
1050,36.34,131.25,4,28800.0,0.8,1.0,1.0,1.0,5.0,4.0,0.0,0.0,1249.54,7.98,1,4,22.11,11,2,13,3,0,0,10,0,1,3
